Random Seed,Offered Load,Number of channels,Call arrival count,Blocked call count,Calls processed ,Block rate ,
0,1.000000, 1, 999335, 499335, 500000, 0.499667, 
0,1.000000, 3, 533375, 33374, 500000, 0.062571, 
0,1.000000, 5, 501546, 1546, 500000, 0.003082, 
0,1.000000, 7, 500041, 40, 500000, 0.000080, 
0,1.000000, 9, 500000, 0, 500000, 0.000000, 
0,1.000000, 11, 500000, 0, 500000, 0.000000, 
0,1.000000, 13, 500000, 0, 500000, 0.000000, 
0,1.000000, 15, 500000, 0, 500000, 0.000000, 
0,1.000000, 17, 500000, 0, 500000, 0.000000, 
0,1.000000, 19, 500000, 0, 500000, 0.000000, 
0,3.000000, 1, 2001048, 1501048, 500000, 0.750131, 
0,3.000000, 3, 765228, 265227, 500000, 0.346599, 
0,3.000000, 5, 561685, 61683, 500000, 0.109818, 
0,3.000000, 7, 511109, 11106, 500000, 0.021729, 
0,3.000000, 9, 501382, 1379, 500000, 0.002750, 
0,3.000000, 11, 500105, 104, 500000, 0.000208, 
0,3.000000, 13, 500013, 8, 500000, 0.000016, 
0,3.000000, 15, 500003, 0, 500000, 0.000000, 
0,3.000000, 17, 500003, 0, 500000, 0.000000, 
0,3.000000, 19, 500003, 0, 500000, 0.000000, 
0,5.000000, 1, 3004146, 2504146, 500000, 0.833563, 
0,5.000000, 3, 1062883, 562882, 500000, 0.529580, 
0,5.000000, 5, 700058, 200054, 500000, 0.285768, 
0,5.000000, 7, 568575, 68571, 500000, 0.120602, 
0,5.000000, 9, 519359, 19354, 500000, 0.037265, 
0,5.000000, 11, 504206, 4201, 500000, 0.008332, 
0,5.000000, 13, 500678, 672, 500000, 0.001342, 
0,5.000000, 15, 500085, 81, 500000, 0.000162, 
0,5.000000, 17, 500015, 12, 500000, 0.000024, 
0,5.000000, 19, 500006, 0, 500000, 0.000000, 
0,7.000000, 1, 3995398, 3495398, 500000, 0.874856, 
0,7.000000, 3, 1377988, 877986, 500000, 0.637151, 
0,7.000000, 5, 868701, 368698, 500000, 0.424425, 
0,7.000000, 7, 665561, 165556, 500000, 0.248747, 
0,7.000000, 9, 569624, 69617, 500000, 0.122216, 
0,7.000000, 11, 525075, 25069, 500000, 0.047744, 
0,7.000000, 13, 507326, 7322, 500000, 0.014433, 
0,7.000000, 15, 501722, 1718, 500000, 0.003424, 
0,7.000000, 17, 500304, 297, 500000, 0.000594, 
0,7.000000, 19, 500044, 36, 500000, 0.000072, 
0,9.000000, 1, 4993324, 4493324, 500000, 0.899866, 
0,9.000000, 3, 1702948, 1202946, 500000, 0.706390, 
0,9.000000, 5, 1052109, 552105, 500000, 0.524760, 
0,9.000000, 7, 782931, 282926, 500000, 0.361368, 
0,9.000000, 9, 644486, 144478, 500000, 0.224176, 
0,9.000000, 11, 568791, 68784, 500000, 0.120930, 
0,9.000000, 13, 528499, 28490, 500000, 0.053907, 
0,9.000000, 15, 510010, 10003, 500000, 0.019613, 
0,9.000000, 17, 502925, 2916, 500000, 0.005798, 
0,9.000000, 19, 500725, 716, 500000, 0.001430, 
0,11.000000, 1, 5997302, 5497302, 500000, 0.916629, 
0,11.000000, 3, 2032210, 1532208, 500000, 0.753961, 
0,11.000000, 5, 1243072, 743068, 500000, 0.597767, 
0,11.000000, 7, 910199, 410194, 500000, 0.450664, 
0,11.000000, 9, 734237, 234230, 500000, 0.319011, 
0,11.000000, 11, 629348, 129340, 500000, 0.205514, 
0,11.000000, 13, 566862, 66853, 500000, 0.117935, 
0,11.000000, 15, 531227, 31216, 500000, 0.058762, 
0,11.000000, 17, 512476, 12465, 500000, 0.024323, 
0,11.000000, 19, 504228, 4216, 500000, 0.008361, 
